,mouse_id,days,rel_days,rel_sess,metric,perf,perf_norm
232,63,2021-03-17,15,8,si,0.110589,0.05089450076088558
233,63,2021-02-11,-19,-17,si_norm,-5.61185,0.8125002714680558
234,63,2021-02-12,-18,-16,si_norm,-6.04353,0.8750001809787038
235,63,2021-02-14,-16,-15,si_norm,-6.90689,1.0
236,63,2021-02-16,-14,-14,si_norm,-6.04353,0.8750001809787038
237,63,2021-02-17,-13,-13,si_norm,-6.90689,1.0
238,63,2021-02-18,-12,-12,si_norm,-5.42684,0.7857139754650792
239,63,2021-02-19,-11,-11,si_norm,-3.2375,0.46873484303355056
240,63,2021-02-20,-10,-10,si_norm,-6.90689,1.0
241,63,2021-02-21,-9,-9,si_norm,-6.90689,1.0
242,63,2021-02-22,-8,-8,si_norm,-6.90689,1.0
243,63,2021-02-23,-7,-7,si_norm,-6.8284,0.9886359852263465
244,63,2021-02-24,-6,-6,si_norm,-6.81096,0.986110970349897
245,63,2021-02-25,-5,-5,si_norm,-6.90689,1.0
246,63,2021-02-26,-4,-4,si_norm,-6.2162,0.8999998552170368
247,63,2021-02-27,-3,-3,si_norm,-6.90689,1.0
248,63,2021-02-28,-2,-2,si_norm,-6.90689,1.0
249,63,2021-03-01,-1,-1,si_norm,-6.90689,1.0
250,63,2021-03-02,0,0,si_norm,-6.90689,1.0
251,63,2021-03-03,1,1,si_norm,-0.246675,0.03571433742248682
252,63,2021-03-04,2,2,si_norm,-3.28077,0.47499960184685147
253,63,2021-03-05,3,3,si_norm,-0.636161,0.09210527458812867
254,63,2021-03-06,4,4,si_norm,-3.91389,0.5666645914441956
255,63,2021-03-07,5,5,si_norm,-6.90689,1.0
256,63,2021-03-10,8,6,si_norm,-2.43758,0.35292005519126557
257,63,2021-03-14,12,7,si_norm,-6.10994,0.8846152175581196
258,63,2021-03-17,15,8,si_norm,-4.48898,0.6499278256928951
259,63,2021-02-11,-19,-17,si_raw,8427.76,1.1938847786216575
260,63,2021-02-12,-18,-16,si_raw,4517.05,0.6398897499778065
261,63,2021-02-14,-16,-15,si_raw,7032.4,0.996216707307629
262,63,2021-02-16,-14,-14,si_raw,12832.2,1.817822085136363
263,63,2021-02-17,-13,-13,si_raw,7032.4,0.996216707307629
264,63,2021-02-18,-12,-12,si_raw,1852.85,0.26247655510706736
265,63,2021-02-19,-11,-11,si_raw,654.87,0.09276952891111813
266,63,2021-02-20,-10,-10,si_raw,10372.6,1.4693927276917005
267,63,2021-02-21,-9,-9,si_raw,8338.42,1.181228786267573
268,63,2021-02-22,-8,-8,si_raw,13931.6,1.9735641714815662
269,63,2021-02-23,-7,-7,si_raw,11639.1,1.648806364544711
270,63,2021-02-24,-6,-6,si_raw,8881.94,1.258224364556044
271,63,2021-02-25,-5,-5,si_raw,10372.6,1.4693927276917005
272,63,2021-02-26,-4,-4,si_raw,3081.17,0.4364815755723576
273,63,2021-02-27,-3,-3,si_raw,3986.31,0.5647045990710817
274,63,2021-02-28,-2,-2,si_raw,3986.31,0.5647045990710817
275,63,2021-03-01,-1,-1,si_raw,3986.31,0.5647045990710817
276,63,2021-03-02,0,0,si_raw,13204.7,1.8705908018578368
277,63,2021-03-03,1,1,si_raw,0.0,0.0
278,63,2021-03-04,2,2,si_raw,1368.0,0.19379222677845923
279,63,2021-03-05,3,3,si_raw,52.554,0.007444851378739142
280,63,2021-03-06,4,4,si_raw,3274.13,0.4638164791390034
281,63,2021-03-07,5,5,si_raw,3986.31,0.5647045990710817
282,63,2021-03-10,8,6,si_raw,1218.23,0.1725756611318146
283,63,2021-03-14,12,7,si_raw,5106.61,0.7234073999920669
284,63,2021-03-17,15,8,si_raw,1552.6,0.21994284451479224
285,69,2021-02-11,-25,-22,blr,0.5492256879806519,1.0047227004521708
286,69,2021-02-12,-24,-21,blr,0.39088138937950134,0.7150565126292928
287,69,2021-02-14,-22,-20,blr,0.5020816922187805,0.9184801160855748
288,69,2021-02-16,-20,-19,blr,0.5254209637641907,0.9611756717503293
289,69,2021-02-17,-19,-18,blr,0.4621047079563141,0.8453484609880183
290,69,2021-02-18,-18,-17,blr,0.4772111773490906,0.8729833896790142
291,69,2021-02-19,-17,-16,blr,0.6794309616088867,1.242912932620413
292,69,2021-02-20,-16,-15,blr,0.5160191059112549,0.9439764397806807
293,69,2021-02-21,-15,-14,blr,0.5321161150932312,0.9734234064620504
294,69,2021-02-22,-14,-13,blr,0.646487832069397,1.182648617245878
295,69,2021-02-23,-13,-12,blr,0.5880018472671509,1.0756576336209691
296,69,2021-02-24,-12,-11,blr,0.5271502733230591,0.964339173764032
297,69,2021-02-25,-11,-10,blr,0.5327828526496887,0.9746430987904989
298,69,2021-02-26,-10,-9,blr,0.45669594407081604,0.8354539713891683
299,69,2021-02-27,-9,-8,blr,0.4809599220752716,0.8798411332387567
300,69,2021-02-28,-8,-7,blr,0.5680966973304749,1.039244267613247
301,69,2021-03-01,-7,-6,blr,0.43184441328048706,0.7899919733937119
302,69,2021-03-02,-6,-5,blr,0.6720779538154602,1.2294617521524709
303,69,2021-03-03,-5,-4,blr,0.46919742226600647,0.8583234751410725
304,69,2021-03-04,-4,-3,blr,0.472734272480011,0.8647935907526981
305,69,2021-03-06,-2,-2,blr,0.617487370967865,1.129596798603856
306,69,2021-03-07,-1,-1,blr,0.6098666787147522,1.1156559311837362
307,69,2021-03-08,0,0,blr,0.41257810592651367,0.7547472702124077
308,69,2021-03-10,2,1,blr,0.7254250645637512,1.3270519675144155
309,69,2021-03-11,3,2,blr,0.5074926614761353,0.9283786400681323
310,69,2021-03-14,6,3,blr,0.5676112771034241,1.038356267047997
311,69,2021-03-17,9,4,blr,0.5468184947967529,1.000319116116687
312,69,2021-03-20,12,5,blr,0.43193385004997253,0.7901555840086625
313,69,2021-03-23,15,6,blr,0.3208514153957367,0.5869476020059392
314,69,2021-03-31,23,7,blr,0.4865037202835083,0.8899826470616456
315,69,2021-02-11,-25,-22,dist,5.230356216430664,1.7150990587702073
316,69,2021-02-12,-24,-21,dist,8.422246932983398,2.761759847658663
317,69,2021-02-14,-22,-20,dist,5.183094024658203,1.6996011964315534
318,69,2021-02-16,-20,-19,dist,4.396734237670898,1.4417440114314377
319,69,2021-02-17,-19,-18,dist,4.537876605987549,1.4880263549345505
320,69,2021-02-18,-18,-17,dist,5.100648403167725,1.6725662485299473
321,69,2021-02-19,-17,-16,dist,2.9021875858306885,0.9516635179065491
322,69,2021-02-20,-16,-15,dist,3.8505849838256836,1.2626548571831238
323,69,2021-02-21,-15,-14,dist,4.05474328994751,1.329600912897206
324,69,2021-02-22,-14,-13,dist,2.5469608306884766,0.8351802329860106
325,69,2021-02-23,-13,-12,dist,2.3551087379455566,0.7722695381746684
